"Customer_No","HouseNumber","Street","Town","County","PostCode","Region"
1039,"96","Mill Road","Newark","Lincolnshire","NG31-9QR","North West"
1125,"11","Main Street","Gainsborough",".","de1 3cd","Yorkshire"
1099,"122","Main Street","Doncaster","NOTTINGHAMSHIRE","de1 3cd","North East"
1023,"14A","Park Avenue","Leeds","Derbyshire","LS1  5GH","North East"
1215,"16","Station Road","Derby","Nottinghamshire","s1 2ab","West Midlands"
1070,"42","Market Place","York","NORTH YORKSHIRE","NG248NP","West Midlands"
1101,"146","High Street","Leeds","Nottinghamshire","N/A","East Midlands"
1069,"146","Church Lane","Derby","South Yorkshire","de1 3cd","North West"
1121,"128","Victoria Road","Grantham","Derbyshire","s1 2ab","North West"
1109,"136","Victoria Road","Sheffield","Lincolnshire","NG31 9QR","North West"
1154,"115","King Street","Gainsborough","Derbyshire","DE13CD","North West"
1097,"123","Station Road","Leeds","Nottinghamshire","dn1 7lm","West Midlands"
1019,"78","King Street","Lincoln","North Yorkshire","YO1-6JK","North West"
1076,"13","High Street","Grantham ","","NG24-8NP","North East"
1182,"34","Market Place","sheffield","Derbyshire","DE1-3CD","East Midlands"
1155,"31","Queen Street","Doncaster","North Yorkshire","LN1 1AA","Yorkshire"
1021,"192","Station Road","Lincoln","Lincolnshire","ng31 9qr","North East"
1072,"9","King Street","Nottingham","DERBYSHIRE","NG1-4EF","Yorkshire"
1034,"170","High Street"," Sheffield","Nottinghamshire","DE1 3CD","North West"
1209,"75","High Street","Doncaster","Nottinghamshire","DE1-3CD","West Midlands"
1242,"97","High Street","Gainsborough","Derbyshire ","ls1 5gh","North East"
1185,"105"," Victoria Road","Leeds","North Yorkshire","DN1-7LM","Yorkshire"
1129,"48","Market Place","Doncaster","Nottinghamshire","NG24-8NP","North East"
1127,"110","Church Lane","Nottingham","North Yorkshire","LN1 1AA","North West"
1137,"188","Church Lane","Nottingham","Lincolnshire","S12AB","Yorkshire"
1189,"184","Main Street","Newark","Nottinghamshire","DE1-3CD","North East"
1025,"72","High Street","York ","","YO1 6JK","North East"
1005,"155","mill road","Grantham","South Yorkshire","S1  2AB","West Midlands"
1233,"40","Main Street","Grantham","Nottinghamshire","S12AB","Yorkshire"
1155,"176","Station Road","Lincoln"," Nottinghamshire","S1 2AB","North East"
1152,"164","Station Road","Sheffield","North Yorkshire","NG24 8NP","West Midlands"
1029,"18","Victoria Road","Newark","NULL","ln2 3bb","East Midlands"
1110,"194","Church Lane","Sheffield","Lincolnshire","NG24  8NP","North West"
1073,"30","Park Avenue ","Derby","South Yorkshire","DE1  3CD","East Midlands"
1247,"153","Victoria Road","Sheffield","North Yorkshire","NG24  8NP","North East"
1201,"168"," Church Lane","Newark","Lincolnshire","dn1 7lm","West Midlands"
1124,"32","King Street","Derby","Nottinghamshire","DN1-7LM","North East"
1078,"22B","High Street","Lincoln","Lincolnshire","S1 2AB","North East"
1156,"75","King Street","Grantham","South Yorkshire","S1  2AB","Yorkshire"
1203,"55","Mill Road","York ","North Yorkshire","NG31-9QR","North East"
1017,"99","Queen Street","Sheffield","Lincolnshire","NG24 8NP","west midlands"
1222,"169","Queen Street","Lincoln","Unknown",".","West Midlands"
1044,"45","Station Road","Grantham","South Yorkshire","YO16JK","North West"
1047,"65","Station Road","Gainsborough","South Yorkshire ","LN2 3BB","West Midlands"
1176,"60","King Street","Sheffield","South Yorkshire","LN2-3BB","East Midlands"
1041,"130","Station Road","Leeds","South Yorkshire","","East Midlands"
1010,"114","Station Road","DONCASTER","derbyshire","LN1  1AA","North East"
1054,"67","MILL ROAD","Sheffield","Nottinghamshire","NG31 9QR","NORTH WEST"
1075,"114"," Church Lane","Lincoln"," South Yorkshire","LN2 3BB","Yorkshire"
1077,"135","Queen Street","Grantham","NORTH YORKSHIRE","NG31  9QR","North West"
1075,"120","High Street","LEEDS","North Yorkshire","NG1 4EF","East Midlands"
1129,"52","High Street","York","Lincolnshire","dn1 7lm","East Midlands"
1213,"83","Park Avenue","Gainsborough"," Lincolnshire","YO1 6JK","North West"
1126,"107","Queen Street","Gainsborough","Derbyshire ","YO1-6JK","East Midlands"
1200,"37","Main Street","Newark","South Yorkshire",".","North West"
1231,"16","High Street","Grantham","Lincolnshire","NG31-9QR","North East"
1189,"55","High Street","Lincoln","Nottinghamshire","NG24 8NP","Yorkshire"
1213,"3","Market Place","Nottingham","North Yorkshire","ln1 1aa","North East"
1065,"139","main street","Derby","Lincolnshire","dn1 7lm","East Midlands"
1090,"121","Church Lane","York","north yorkshire","NG248NP","Yorkshire"
1124,"137","King Street","newark","South Yorkshire","DN1 7LM","West Midlands"
1105,"53","Market Place","Leeds","Nottinghamshire","LN2  3BB","North West"
1221,"10","VICTORIA ROAD","Doncaster","Nottinghamshire","NG248NP","Yorkshire"
1191,"178"," King Street","Gainsborough","Derbyshire","NULL","North West"
1020,"95","Queen Street","Lincoln","LINCOLNSHIRE","LN2  3BB","West Midlands"
1016,"198","King Street","Sheffield","Nottinghamshire","ln2 3bb","Yorkshire "
1038,"20","Victoria Road","Newark","Derbyshire","DN17LM","East Midlands"
1063,"109","Mill Road","Leeds","Nottinghamshire","yo1 6jk","East Midlands"
1020,"121","King Street","Doncaster","Nottinghamshire","LN2  3BB","East Midlands"
1189,"73","Mill Road","Sheffield","South Yorkshire","LS15GH","West Midlands"
1170,"119"," Church Lane","derby","Nottinghamshire","LS1 5GH","East Midlands"
1018,"38","Victoria Road","Nottingham","Derbyshire","ln2 3bb","NORTH EAST"
1016,"55","Queen Street","Derby","Lincolnshire","ng31 9qr","East Midlands"
1139,"72","Victoria Road","Grantham","Derbyshire","NG14EF","North East"
1008,"109","Victoria Road","Leeds","NORTH YORKSHIRE","NG319QR","North East"
1181,"70","Victoria Road","Newark","Nottinghamshire","DN1-7LM","East Midlands"
1039,"150","Park Avenue","Grantham","North Yorkshire","ln2 3bb","West Midlands"
1085,"15","Church Lane","Gainsborough","Lincolnshire","DE1  3CD","Yorkshire"
1064,"160","Station Road ","Doncaster","North Yorkshire","YO1-6JK","West Midlands"
1250,"118","PARK AVENUE","Leeds","South Yorkshire","ln2 3bb","North East"
1003,"35","King Street","Leeds","South Yorkshire","ng24 8np","East Midlands"
1175,"104","Market Place","Nottingham","Lincolnshire","LN2  3BB","Yorkshire"
1025,"52","Main Street","Doncaster","North Yorkshire","NG31 9QR","Yorkshire"
1070,"192","King Street","Leeds","Derbyshire","NG248NP","East Midlands"
1032,"57","Main Street","Derby","LINCOLNSHIRE",".","East Midlands"
1195,"198","QUEEN STREET"," Sheffield","Derbyshire","NG24 8NP","East Midlands"
1002,"74","Station Road","Newark","South Yorkshire","ls1 5gh","Yorkshire"
1102,"168","Main Street","Sheffield",".","NG31  9QR","Yorkshire"
1241,"182","Victoria Road","Lincoln","North Yorkshire","LN1-1AA","Yorkshire"
1027,"161","Victoria Road","Doncaster","Derbyshire","DN17LM","North West"
1211,"68","King Street","York","Lincolnshire","LS1-5GH","West Midlands"
1002,"33","High Street","Gainsborough","lincolnshire","ln2 3bb","Yorkshire"
1228,"176","high street","Lincoln","Unknown","NULL","East Midlands"
1042,"93","Station Road","York ","Lincolnshire","LS1 5GH","West Midlands"
1249,"5","Victoria Road","Leeds ","South Yorkshire","ng24 8np","East Midlands"
1135,"154","Church Lane"," Lincoln","Lincolnshire","LN23BB","North West "
1128,"62","Main Street","York","Lincolnshire","LN2  3BB","North West"
1116,"158","Park Avenue","Gainsborough","South Yorkshire","DN1  7LM","North West"
1047,"154","Market Place","Nottingham"," North Yorkshire","S12AB","East Midlands"
1031,"55","Market Place","Newark","Lincolnshire","de1 3cd","West Midlands"
1250,"148","Station Road","Lincoln","North Yorkshire","LN23BB","North West"
1135,"39","victoria road","Doncaster","","NG31 9QR","Yorkshire"
1037,"197","Victoria Road","Lincoln ","Derbyshire","DN1  7LM","North East"
1169,"105","Mill Road","Doncaster"," Derbyshire","S1 2AB","North West"
1120,"9","High Street","Leeds","North Yorkshire","."," West Midlands"
1086,"74","Victoria Road","NEWARK","North Yorkshire","DE1 3CD","West Midlands"
1183,"5","Station Road","DONCASTER","South Yorkshire","DN1  7LM","North East"
1075,"150","Victoria Road","Lincoln","Derbyshire","LN23BB","East Midlands"
1010,"156","Church Lane","Sheffield","","NG1  4EF","Yorkshire"
1147,"131","Victoria Road","gainsborough","North Yorkshire","LN2-3BB","Yorkshire"
1185,"17","Market Place","Derby","Derbyshire","NULL","East Midlands"
1240,"141","King Street ","Doncaster","South Yorkshire","LS15GH","East Midlands"
1226,"150","Station Road","Derby","Lincolnshire","DN1-7LM","West Midlands"
1100,"92","Victoria Road","Doncaster","nottinghamshire","LN23BB","Yorkshire"
1235,"1","Queen Street","Grantham","Lincolnshire","NG31-9QR","North West"
1040,"10","Queen Street","Newark","North Yorkshire","YO1 6JK","West Midlands"
1184,"79","King Street","York","North Yorkshire","N/A","East Midlands"
1119,"17","Mill Road","Sheffield","North Yorkshire","Unknown","North West"
1128,"101","Main Street","Gainsborough","Nottinghamshire","dn1 7lm","north west"
1130,"156","Church Lane ","Nottingham","Derbyshire","de1 3cd","East Midlands "
1131,"80","Market Place","Nottingham","North Yorkshire","LS15GH","East Midlands"
1066,"160","High Street","Derby","Nottinghamshire","DE1 3CD","East Midlands"
1154,"138","King Street","Nottingham","Derbyshire","LN23BB","Yorkshire"
1059,"84","Market Place","Leeds","derbyshire","LS1  5GH","West Midlands"
1001,"43","Market Place","Derby","Derbyshire","LS1 5GH","North East"
1250,"198","Market Place","York","Nottinghamshire","NG24  8NP","North East"
1089,"130","Queen Street","Doncaster"," Derbyshire","YO1  6JK","West Midlands"
1145,"163","Victoria Road","Lincoln","Derbyshire","LS15GH","North West"
1120,"87","Church Lane","Grantham","nottinghamshire","S1-2AB","West Midlands"
1018,"117","Mill Road","Derby","South Yorkshire","LN1  1AA","East Midlands"
1007,"112","Mill Road","Leeds","South Yorkshire","LN2-3BB","Yorkshire"
1053,"75","HIGH STREET","York","Derbyshire","LN2-3BB","West Midlands"
1197,"71","Main Street","Doncaster","Derbyshire","LN2 3BB","West Midlands"
1213,"159","Church Lane","Doncaster","Derbyshire","S1-2AB","North East"
1041,"170","King Street","Gainsborough","Lincolnshire","NG31-9QR","yorkshire"
1090,"119","High Street"," Lincoln","Nottinghamshire","LS15GH","North East"
1013,"3","Park Avenue","Sheffield","North Yorkshire","LN1  1AA","North West "
1153,"107","King Street","Sheffield","Nottinghamshire","LN2 3BB","West Midlands "
1163,"154","High Street","Doncaster","North Yorkshire","LS1 5GH","North East"
1143,"23","King Street","Gainsborough"," Lincolnshire","NG31-9QR","east midlands"
1114,"114","Park Avenue","Doncaster","","LN2 3BB","North West"
1011,"30","queen street","NOTTINGHAM","Nottinghamshire","LN23BB","East Midlands"
1035,"11","King Street","Leeds","North Yorkshire","ls1 5gh","North East"
1141,"177","Main Street","Leeds","South Yorkshire ","."," North East"
1093,"58","Victoria Road","Doncaster","Lincolnshire","LS1  5GH","North West"
1091,"26","Station Road","Leeds","North Yorkshire","LN1  1AA","yorkshire"
1065,"179","Victoria Road","Newark","Nottinghamshire","S1  2AB","North East"
1102,"148","High Street","Grantham","North Yorkshire","DN1  7LM","East Midlands"
1087,"142","Queen Street","Newark","Derbyshire","LN2-3BB","Yorkshire"
1148,"183","Park Avenue","Leeds","Nottinghamshire","NG31  9QR","North East"
1043,"98","King Street","Grantham","North Yorkshire","S1-2AB","North East"
1076,"78","Church Lane","Nottingham","North Yorkshire","YO1-6JK","North East"
1209,"32","Queen Street","Doncaster","Nottinghamshire","s1 2ab","north east"
1105,"97","Victoria Road","Nottingham","SOUTH YORKSHIRE","NG24-8NP","West Midlands"
1240,"134","Victoria Road","DERBY","Derbyshire","NG1-4EF","East Midlands"
1073,"25","Main Street","Grantham","North Yorkshire","DN17LM"," West Midlands"
1167,"24","Main Street","Grantham","Nottinghamshire","NG24 8NP","Yorkshire"
1125,"65","Park Avenue","Lincoln","North Yorkshire","DN1  7LM","East Midlands"
1040,"168","King Street","Doncaster","South Yorkshire","","North East"
1184,"144","Main Street","Nottingham","South Yorkshire","LN2 3BB","East Midlands"
1151,"168","High Street","Sheffield","South Yorkshire","DN1 7LM","East Midlands"
1006,"90","Park Avenue","Doncaster","North Yorkshire","ng31 9qr","West Midlands"
1121,"135","King Street","Leeds","North Yorkshire","LN1-1AA","West Midlands "
1042,"19","Park Avenue","Gainsborough","South Yorkshire",".","EAST MIDLANDS"
1086,"133","Park Avenue","Derby","South Yorkshire","S1  2AB","Yorkshire"
1019,"92","Station Road","Sheffield","Derbyshire","LS1  5GH"," North East"
1045,"94","Victoria Road","grantham","Derbyshire","N/A","North East"
1240,"196","King Street","Doncaster","South Yorkshire","NG24 8NP","Yorkshire"
1191,"3","Main Street","leeds","Nottinghamshire","N/A","North West"
1052,"59","Queen Street","Sheffield","South Yorkshire","LS1  5GH","North West"
1161,"167","High Street","Derby","Nottinghamshire",".","East Midlands"
1116,"68","High Street ","York","South Yorkshire","YO16JK","NORTH EAST"
1041,"9","Market Place","Leeds","Nottinghamshire","ls1 5gh","East Midlands"
1051,"167","Station Road","York","Nottinghamshire","yo1 6jk","yorkshire"
1165,"138","Mill Road","Doncaster ","North Yorkshire","NG1 4EF","North West"
1013,"115","Mill Road","Derby","South Yorkshire","YO1-6JK","Yorkshire"
1182,"131","Park Avenue","Lincoln","Lincolnshire","DN1  7LM","North West"
1162,"101C","Market Place","Grantham","Lincolnshire","Unknown","North West"
1080,"17","High Street","Grantham","nottinghamshire","LN1 1AA","Yorkshire"
1244,"106","Victoria Road","Doncaster","North Yorkshire","NG24-8NP","yorkshire"
1026,"49"," Park Avenue","Leeds","South Yorkshire","NG248NP","North East"
1035,"40","Main Street","Derby","South Yorkshire","DE13CD","West Midlands"
1180,"117","Park Avenue","York","Lincolnshire","NG24-8NP","North West"
1112,"79","Queen Street"," Sheffield","Derbyshire","S1-2AB","North East"
1074,"55","Victoria Road","Sheffield","Lincolnshire","ln1 1aa","North West"
1181,"161","Victoria Road","York","Derbyshire","Unknown","East Midlands"
1062,"169","Park Avenue","Newark","South Yorkshire","NG24  8NP","North East"
1154,"107"," King Street","Nottingham","Lincolnshire","N/A","North West"
1205,"30","King Street","Gainsborough","Lincolnshire","NG319QR","East Midlands"
1044,"147","Main Street","Gainsborough ","Nottinghamshire",".","North West"
1121,"100","Market Place","Nottingham","Nottinghamshire","NG1  4EF","north west"
1236,"103","Market Place","Gainsborough","Lincolnshire","NG31  9QR","North West"
1170,"129","King Street","Newark"," Lincolnshire","ng1 4ef","Yorkshire"
1121,"69","Park Avenue","Gainsborough","SOUTH YORKSHIRE","S1  2AB","North West"
1168,"6","High Street","Nottingham","SOUTH YORKSHIRE","LN1 1AA","North West"
1142,"123","Queen Street","Gainsborough","Nottinghamshire","NG31  9QR","West Midlands"
1248,"45","Mill Road","Nottingham","Nottinghamshire","dn1 7lm","Yorkshire"
1183,"170","Station Road","Grantham","South Yorkshire","LN1-1AA","West Midlands"
1221,"2","Market Place","Sheffield","north yorkshire","NG24-8NP","North West"
1192,"149","Church Lane","Sheffield","Lincolnshire","LS15GH","East Midlands"
1196,"42","High Street","Leeds"," South Yorkshire","NG24  8NP","East Midlands"
1096,"97","Queen Street","Gainsborough","South Yorkshire","LN2 3BB","east midlands"
1238,"118","Main Street","Newark","Lincolnshire","DN1-7LM","West Midlands"
1142,"183","Church Lane","Gainsborough","South Yorkshire ","DN1-7LM","East Midlands"
