"Customer_No","HouseNumber","Street","Town","County","PostCode","Region"
1043,"127","King Street","Lincoln","North Yorkshire","NG1 4EF","Yorkshire"
1112,"198","Station Road","Gainsborough","Derbyshire ","YO1  6JK","North East"
1006,"104","Church Lane ","York","Derbyshire","LN23BB","East Midlands"
1076,"128","Park Avenue","Grantham","Derbyshire","ng31 9qr","West Midlands"
1032,"186","Church Lane","Gainsborough","South Yorkshire","LS1  5GH","East Midlands"
1153,"21","Queen Street","Doncaster","Nottinghamshire","YO16JK","North East"
1104,"148","King Street","Nottingham","North Yorkshire","NG24  8NP","North West"
1157,"96","King Street ","Lincoln","NULL","NG1  4EF","West Midlands"
1039,"107","Queen Street","Sheffield","Lincolnshire","LN23BB","NORTH WEST"
1001,"76","Park Avenue","Sheffield","Lincolnshire","DN17LM","North West"
1112,"38","King Street","Grantham","Lincolnshire","NG319QR","North East"
1025,"189","Mill Road","Newark","LINCOLNSHIRE","S1 2AB","North West"
1219,"141","Church Lane","Lincoln","Lincolnshire","LS1  5GH","North West"
1121,"26","Mill Road","Leeds","SOUTH YORKSHIRE","ln1 1aa","West Midlands"
1070,"14A"," Victoria Road","Grantham","South Yorkshire","YO1-6JK","West Midlands"
1060,"37","Victoria Road","Leeds","South Yorkshire","ln2 3bb","West Midlands"
1230,"34","Station Road","Leeds","North Yorkshire","Unknown","West Midlands"
1137,"185","High Street","York","North Yorkshire","LN2  3BB","West Midlands"
1121,"50","Main Street","SHEFFIELD","North Yorkshire","NG1 4EF","Yorkshire"
1059,"187","Station Road","York","Nottinghamshire","DN17LM","East Midlands"
1201,"133","Mill Road","Newark","South Yorkshire","s1 2ab","Yorkshire"
1041,"120","High Street","Lincoln","Nottinghamshire","LN2-3BB","North East"
1145,"200","Mill Road","Newark","North Yorkshire","YO1  6JK","North West"
1159,"120","Market Place","York","","LN11AA","North East"
1209,"131","MARKET PLACE","Grantham","South Yorkshire","NG1 4EF","north east"
1186,"137","Queen Street","Derby","Derbyshire","S1-2AB","East Midlands"
1165,"169","KING STREET","Leeds","Unknown","NG24  8NP","Yorkshire"
1095,"25","Main Street","Lincoln","Nottinghamshire","YO1-6JK","NORTH EAST"
1021,"14A","King Street","Lincoln","DERBYSHIRE","LN1 1AA","East Midlands"
1161,"153","VICTORIA ROAD","Gainsborough","South Yorkshire","NG319QR","East Midlands"
1231,"34","Queen Street","Derby","South Yorkshire","YO1-6JK","East Midlands"
1095,"143","Park Avenue","Sheffield","Lincolnshire","LS1 5GH","West Midlands"
1163,"193","Church Lane","Nottingham","NOTTINGHAMSHIRE","Unknown","East Midlands"
1126,"144","STATION ROAD","Doncaster","South Yorkshire","ng24 8np","North East"
1015,"184","Market Place","GRANTHAM","Derbyshire","DN1  7LM","WEST MIDLANDS"
1084,"93","Station Road","Grantham","nottinghamshire","NG1  4EF","North East"
1158,"8","Station Road","Nottingham","Nottinghamshire","LN1-1AA","North West"
1159,"67","Mill Road","Sheffield","LINCOLNSHIRE","LN2-3BB","North East"
1053,"151","King Street ","Grantham","Derbyshire","NG1  4EF","East Midlands"
1239,"24","Queen Street","Derby","North Yorkshire","DE1-3CD","North West"
1006,"59","Mill Road","Grantham","Derbyshire","DN1  7LM","East Midlands"
1004,"50","Main Street","Newark","Nottinghamshire","ng31 9qr","West Midlands"
1142,"80","Queen Street","Newark","Nottinghamshire","LS1  5GH","North East"
1048,"170","Park Avenue","Gainsborough","North Yorkshire","NULL","East Midlands"
1099,"190","Station Road","Derby","Derbyshire","s1 2ab","West Midlands"
1132,"118","High Street","Grantham",".","NG31-9QR","North West"
1128,"114","Park Avenue","York","North Yorkshire","NG24  8NP","North West"
1097,"54","Park Avenue","Grantham","lincolnshire","NG24-8NP"," North East"
1075,"89","Mill Road","Nottingham","South Yorkshire ","","North West"
1165,"160","Church Lane","Leeds","Unknown","YO1  6JK","North West"
1158,"88","Park Avenue","Doncaster","Lincolnshire","DN1 7LM"," East Midlands"
1024,"47","Mill Road ","Sheffield","Lincolnshire","DN1-7LM","North East"
1144,"63","King Street","York","Derbyshire","DE1 3CD","Yorkshire"
1015,"143","Queen Street","Sheffield","Lincolnshire","ln2 3bb","Yorkshire"
1147,"86","Victoria Road","Leeds","north yorkshire","NG14EF","east midlands"
1022,"151","King Street","Grantham","Derbyshire","NG1-4EF","East Midlands"
1156,"198","Park Avenue ","LEEDS","Nottinghamshire","NULL","North East"
1202,"73","Church Lane"," Grantham","Derbyshire","ng1 4ef","East Midlands"
1002,"182","Queen Street","Sheffield","South Yorkshire","YO1  6JK","East Midlands"
1048,"28","Queen Street","Leeds ","North Yorkshire","DN1 7LM","East Midlands"
1237,"195","Queen Street"," Sheffield","South Yorkshire","ls1 5gh","North West"
1140,"152","victoria road","Nottingham","Derbyshire","ng31 9qr","East Midlands"
1038,"81","Station Road","Leeds","Derbyshire","LS1 5GH","East Midlands"
1148,"98","Mill Road","Lincoln","north yorkshire","DN1  7LM","West Midlands"
1011,"39","Main Street","Nottingham","Lincolnshire","NG31 9QR","Yorkshire"
1190,"129","King Street","Doncaster","Nottinghamshire","s1 2ab","North West"
1094,"65","Park Avenue","Leeds","North Yorkshire","dn1 7lm","East Midlands"
1018,"84","Church Lane","Lincoln","Nottinghamshire","LS1  5GH","North East"
1121,"196","Mill Road","Sheffield","Derbyshire",".","North East"
1085,"116","Victoria Road","Doncaster ","Lincolnshire","LN1-1AA","West Midlands"
1144,"181","Church Lane","Gainsborough","Lincolnshire","LN2  3BB","West Midlands"
1010,"169","King Street","Doncaster","Nottinghamshire","dn1 7lm","East Midlands"
1138,"113","Victoria Road","Leeds","Lincolnshire","NG24-8NP","Yorkshire"
1071,"79","Park Avenue","Sheffield","South Yorkshire","Unknown","North West"
1080,"62","Queen Street","Nottingham","Lincolnshire","","North East"
1110,"113","Market Place","Lincoln","NULL","ls1 5gh","east midlands"
1071,"9","Queen Street","Nottingham","South Yorkshire","NG248NP","North East"
1020,"193","Main Street","Leeds","lincolnshire","LN1 1AA","Yorkshire"
1149,"71","MILL ROAD","Leeds","North Yorkshire","dn1 7lm","North West "
1179,"130","Station Road","Leeds","South Yorkshire","LS1-5GH","North East"
1182,"85","Main Street","Leeds","NOTTINGHAMSHIRE",".","Yorkshire"
1114,"60","Mill Road","Sheffield","Derbyshire","NG248NP","North West"
1009,"26","Mill Road","Lincoln","Lincolnshire","NULL","North West"
1188,"54","King Street","York"," Nottinghamshire","ng1 4ef","North West"
1076,"150","Queen Street","Derby","Derbyshire","ng1 4ef","North West "
1145,"12","Mill Road","Grantham","North Yorkshire","LS1  5GH","Yorkshire"
1202,"108","Church Lane"," Doncaster","South Yorkshire","ln2 3bb","West Midlands"
1174,"199","Church Lane","York","Lincolnshire","YO1  6JK","North West"
1054,"156","Mill Road","Leeds","Derbyshire","","North West"
1114,"43","Main Street","York","Derbyshire","YO16JK","Yorkshire"
1063,"173"," Station Road","Doncaster","Lincolnshire","DN1  7LM","North East"
1230,"89","Market Place ","Lincoln","Derbyshire","DE13CD","North West"
1201,"7 A","Queen Street","Nottingham","North Yorkshire ","NG24 8NP","North West"
1215,"2","Church Lane","Nottingham","South Yorkshire","YO1  6JK","West Midlands"
1181,"197","Church Lane","Leeds","Lincolnshire","NG1  4EF","East Midlands"
1102,"170","Church Lane"," Gainsborough","South Yorkshire","de1 3cd","Yorkshire"
1184,"36","Mill Road","Leeds","Nottinghamshire","DN1-7LM","North East"
1028,"145","QUEEN STREET","Newark","Lincolnshire","S12AB","North East"
1228,"180","Market Place","Grantham","Lincolnshire","yo1 6jk","Yorkshire"
1110,"27","Market Place","Grantham","Derbyshire","NG24-8NP","NORTH EAST"
1233,"94","Church Lane","Derby","Derbyshire","LS1 5GH","East Midlands"
1132,"45","High Street","York ","NORTH YORKSHIRE","DE1-3CD","North West"
1226,"161","Station Road","Doncaster","South Yorkshire","NG319QR","Yorkshire"
1144,"36","Church Lane","Lincoln","Derbyshire","DE13CD","North West"
1043,"96","queen street","Gainsborough","Lincolnshire","DE1-3CD","west midlands"
1224,"22","King Street","Nottingham","Lincolnshire","de1 3cd","East Midlands"
1215,"142","Park Avenue","Leeds","Derbyshire","DE1-3CD","West Midlands"
1043,"165","Station Road","Leeds","Nottinghamshire","dn1 7lm","North West"
1166,"192","Church Lane","Leeds","North Yorkshire","YO1  6JK","West Midlands"
1190,"46","station road","Sheffield","Nottinghamshire","dn1 7lm","North East"
1239,"108","Church Lane","Newark","Nottinghamshire","DN17LM","North West"
1009,"99","Market Place","Newark","Derbyshire","NULL","North East"
1086,"101","Market Place","doncaster","South Yorkshire","NG1 4EF","East Midlands"
1031,"103","Main Street"," Sheffield"," North Yorkshire","NULL","North East"
1199,"138","Mill Road","Derby"," South Yorkshire","NG31  9QR","Yorkshire"
1162,"177"," Station Road","Sheffield","South Yorkshire","DN1  7LM","North East"
1180,"10","King Street","Lincoln","North Yorkshire","S12AB","East Midlands"
1243,"136","Market Place","Sheffield","Lincolnshire","DN1  7LM","East Midlands"
1183,"33","Park Avenue","Newark","South Yorkshire","LN23BB","EAST MIDLANDS"
1034,"125","Market Place","Doncaster","Derbyshire","NG24-8NP","NORTH EAST"
1067,"54","Market Place","Sheffield","Lincolnshire ","Unknown","North West"
1132,"183","Victoria Road","Leeds"," South Yorkshire","LN11AA","West Midlands"
1163,"197","MAIN STREET","York","Nottinghamshire","NG24-8NP","East Midlands"
1247,"191","Queen Street","Gainsborough","Lincolnshire","ls1 5gh","West Midlands"
1154,"26","Mill Road","Grantham","lincolnshire","DE1  3CD","yorkshire"
1088,"43","Market Place","Newark","Nottinghamshire","LN1-1AA","North West"
1160,"150","Main Street","York","North Yorkshire","S1 2AB","Yorkshire"
1001,"40","Queen Street","Leeds ","Lincolnshire","NULL","Yorkshire"
1179,"200","Mill Road","Grantham","Lincolnshire","DN17LM","North East"
1199,"98","King Street ","Lincoln","NORTH YORKSHIRE","S1-2AB","North West"
1026,"77","Church Lane","Grantham","Nottinghamshire","ls1 5gh","North West"
1096,"7 A","King Street","Leeds","Nottinghamshire","NG14EF","North West"
1020,"190","Market Place","Gainsborough","South Yorkshire ","YO1  6JK","East Midlands"
1202,"27"," Church Lane","Doncaster","DERBYSHIRE","NULL","West Midlands"
1148,"147","Market Place","Nottingham","North Yorkshire","LS15GH","North West"
1043,"62","Victoria Road","Lincoln","North Yorkshire","DE13CD","Yorkshire"
1220,"73","Church Lane","Grantham ","Derbyshire","N/A","North West"
1193,"76","Park Avenue","Sheffield"," North Yorkshire","s1 2ab","Yorkshire"
1160,"110","High Street","Gainsborough","Nottinghamshire","S12AB","North East"
1046,"158","Market Place","Leeds","Derbyshire","LN1-1AA","east midlands"
1156,"50","Church Lane","Doncaster","North Yorkshire","NG24  8NP","North West"
1062,"10","Queen Street","Lincoln","South Yorkshire","LN2  3BB","Yorkshire"
1171,"192","market place","Nottingham","Lincolnshire","Unknown","West Midlands"
1182,"45","Main Street","Newark","South Yorkshire","LN11AA","North East"
1184,"173","Church Lane","Grantham","North Yorkshire","NG24-8NP","North West "
1142,"64","Park Avenue","Lincoln","North Yorkshire","NG14EF","Yorkshire"
1081,"65","Market Place","Doncaster","Derbyshire","Unknown"," North East"
1036,"133","Queen Street","Sheffield","South Yorkshire ","ln2 3bb","east midlands"
1018,"139","Station Road","Gainsborough","LINCOLNSHIRE","DE13CD","West Midlands"
1002,"36","Station Road","Gainsborough","North Yorkshire","NULL","Yorkshire"
1027,"183","Church Lane","Grantham","Lincolnshire","NG1-4EF","North East"
1173,"42","Victoria Road","GAINSBOROUGH","Nottinghamshire","NG24-8NP","Yorkshire"
1228,"63","High Street","Newark","Lincolnshire","DN1  7LM","North West"
1030,"46","High Street","Grantham ","North Yorkshire","NG31-9QR","East Midlands"
1153,"70","Victoria Road","Leeds"," North Yorkshire","ln1 1aa","East Midlands"
1232,"24"," Station Road","Derby ","Lincolnshire","DN1-7LM","North West"
1122,"115","High Street","Derby","Derbyshire","ln2 3bb","Yorkshire"
1145,"31","Victoria Road","Grantham","South Yorkshire","LN2 3BB","Yorkshire "
1146,"114","Church Lane","Newark","Lincolnshire","NG1  4EF","East Midlands"
1088,"151","Church Lane","Nottingham","nottinghamshire","NG31  9QR","North West"
1096,"33","king street","Lincoln","South Yorkshire","de1 3cd","West Midlands"
1109,"140","Mill Road","Sheffield","South Yorkshire","Unknown","North West"
1026,"146","King Street","Nottingham","Derbyshire","ln2 3bb","East Midlands"
1116,"7","Church Lane","Derby","LINCOLNSHIRE","S1 2AB","North West"
1068,"154","King Street","Doncaster","Lincolnshire","DN17LM","North West"
1195,"42","Mill Road","Gainsborough","Nottinghamshire","NG1 4EF","Yorkshire"
1056,"127","Victoria Road","Newark","Nottinghamshire","LS1 5GH","North West"
1212,"113","Mill Road","Grantham ","Nottinghamshire","NG1-4EF","North West"
1032,"97","Mill Road","Gainsborough","South Yorkshire","LN2 3BB","North West"
1240,"152","Queen Street","Newark","South Yorkshire","ln2 3bb","West Midlands"
1048,"123","Queen Street","Grantham","Nottinghamshire","NULL","North East"
1054,"127","Park Avenue","Lincoln","lincolnshire","NG24  8NP","West Midlands"
1188,"21","Main Street","York","North Yorkshire","NG24 8NP","Yorkshire"
1084,"98","Queen Street","Grantham","South Yorkshire","DN1  7LM","West Midlands"
1173,"12","Station Road","Newark","Nottinghamshire","NG1-4EF","Yorkshire "
1079,"43","Market Place","NEWARK","Derbyshire","S1-2AB","North West"
1122,"176","Park Avenue","Nottingham","North Yorkshire","NG14EF","North East"
1059,"159","Park Avenue","nottingham","South Yorkshire","DE13CD","North East "
1132,"121","Mill Road","Lincoln","NULL","LN2  3BB","East Midlands"
1235,"37","King Street","Leeds","Lincolnshire","de1 3cd","Yorkshire"
1063,"88","Station Road","Grantham","Lincolnshire","de1 3cd","Yorkshire"
1184,"185","victoria road","Sheffield","South Yorkshire","ls1 5gh","Yorkshire"
1104,"107","King Street"," Lincoln","South Yorkshire ","YO16JK","North West"
1150,"165","main street","Leeds","South Yorkshire","DN1  7LM","EAST MIDLANDS"
1127,"43","Church Lane","Lincoln","NULL","YO16JK","North West"
1073,"95","Park Avenue","Lincoln","South Yorkshire","DE1-3CD","North West"
1105,"148","Church Lane","Grantham","DERBYSHIRE","NG31  9QR","North West"
1097,"174","Mill Road","York","Lincolnshire","LN2-3BB","North West"
1052,"163","Main Street","Lincoln","South Yorkshire","LN11AA","North East"
1187,"125","Queen Street ","York","South Yorkshire","ln1 1aa","West Midlands"
1069,"111","Station Road","Lincoln","Derbyshire","S12AB","North West"
1032,"151","Mill Road","nottingham","Lincolnshire",".","North East"
1164,"134","Queen Street","York","North Yorkshire","DE1  3CD","NORTH WEST"
1131,"78","MARKET PLACE","Nottingham","Nottinghamshire","yo1 6jk","North West"
1209,"167","King Street","Leeds","Derbyshire","S1  2AB","North West"
1157,"159","Station Road","derby","Lincolnshire","DN1  7LM","NORTH WEST"
1131,"154","Queen Street","Sheffield","Unknown","YO1-6JK","NORTH WEST"
1042,"137","High Street","York","N/A","NG24 8NP","North West"
1106,"164","Church Lane","Leeds","North Yorkshire","LN2-3BB","North West"
1242,"93","Victoria Road","Gainsborough","Lincolnshire","yo1 6jk","East Midlands"
1084,"40","Victoria Road","Nottingham","South Yorkshire","LN2 3BB","West Midlands"
1184,"69","Queen Street","Leeds","Nottinghamshire","DE13CD","Yorkshire"
1233,"96","STATION ROAD","Gainsborough","Nottinghamshire","DN1-7LM","Yorkshire"
1069,"80","Park Avenue","Derby","Lincolnshire ","ln2 3bb","Yorkshire"
1040,"47","High Street","York","Nottinghamshire","LS1 5GH","North West"
1007,"80","Station Road","Newark","Nottinghamshire","YO16JK","North West"
1169,"4"," Station Road","Newark","North Yorkshire","S12AB"," East Midlands"
1030,"56","Station Road","Gainsborough","Lincolnshire","DE1 3CD","East Midlands"
1026,"192","Station Road","Leeds"," Derbyshire","Unknown","Yorkshire"
1086,"108","Victoria Road","NEWARK","Derbyshire","NG24  8NP","West Midlands"
1032,"31","Main Street","Doncaster","north yorkshire","LS1  5GH","West Midlands"
1110,"80","King Street","Sheffield","Nottinghamshire","NG1 4EF","Yorkshire"
1112,"162","Church Lane","Sheffield","Lincolnshire","LN1 1AA","Yorkshire"
1047,"14A","Victoria Road","Sheffield ","Lincolnshire","YO16JK","West Midlands"
1084,"6","King Street","Newark","Lincolnshire","YO1 6JK","North East"
1228,"31","Queen Street","Newark","South Yorkshire","LN1-1AA","West Midlands"
1179,"46","Victoria Road","York","Lincolnshire","NG319QR","East Midlands"
1175,"167"," Park Avenue","Nottingham","North Yorkshire","YO16JK","East Midlands"
1178,"181","Queen Street","Doncaster","Nottinghamshire","LN11AA","Yorkshire"
1171,"165","Victoria Road","Sheffield","Lincolnshire","S1 2AB","West Midlands"
